org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Collins+German+3000+words+and+phrases

	das wesentliche | the essentials
die Kellnerin | waitress | офіціантка
Ich arbeite bei... | I work at / in... | Я працюю в...
das Geschäft | business | бізнес
die Firma | company | компанія
die Baustelle | construction site | будівельний майданчик
die Fabrik | factory | завод
die Regierung | government | уряд
das Krankenhaus | hospital | лікарня
das Hotel | hotel | готель
das Büro | office | офіс
das Restaurant | restaurant | ресторан
die Schule | school | школа
der Laden | shop | магазин

		die uhrzeit | time
die uhrzeit | time | час

der Morgen | morning | ранок
der Nachmittag | afternoon | після обіду
der Abend | evening | вечір
die Nacht | night | ніч
der Mittag | midday | полудень
die Mitternacht | midnight | опівночі
Wie spät ist es? | What time is it? | Котра година?
Es ist neun Uhr. | It's nine o'clock. | Зараз дев'ята година.
Es ist zehn nach neun. | It's ten past nine. | Зараз дев'ята десять.
Es ist Viertel nach neun. | It's quarter past nine. | Зараз чверть на десяту.
Es ist fünf vor halb zehn. | It's 25 past nine. | Зараз двадцять п'ять на десяту.
Es ist halb zehn. | It's half past nine. | Зараз пів на десяту.
Es ist zwanzig vor zehn. | It's 20 to ten. | Без двадцяти десята.
Es ist Viertel vor zehn. | It's quarter to ten. | За чверть десята.
Es ist fünf vor zehn. | It's five to ten. | За п'ять десята.
Es ist zehn Uhr (morgens). | It's 10 a.m. | Зараз десята година (ранку).
Es ist fünf Uhr (abends). | It's 5 p.m. | Зараз п'ята година (вечора).
Es ist siebzehn Uhr dreißig. | It's 17:30. | Зараз 17:30.
Wann...? | When...? | Коли...?
... in 60 Sekunden / zwei Minuten. | ... in 60 seconds / two minutes. | ... за 60 секунд / дві хвилини.
... in einer Stunde / halben Stunde. | ... in an hour / half an hour. | ... через годину / півгодини.
... in einer Viertelstunde. | ... in quarter of an hour. | ... через чверть години.
heute | today | сьогодні
heute Abend | tonight | сьогодні ввечері
morgen | tomorrow | завтра
gestern | yesterday | вчора
übermorgen | the day after tomorrow | післязавтра
vorgestern | the day before yesterday | позавчора
früh | early | рано
verspätet | late | пізно; затримується
bald | soon | скоро
später | later | пізніше
jetzt | now | зараз

		tage, monate und jahreszeiten | days, months, and seasons
tage, monate und jahreszeiten | days, months, and seasons | дні, місяці та пори року

Montag | Monday | понеділок
Dienstag | Tuesday | вівторок
Mittwoch | Wednesday | середа
Donnerstag | Thursday | четвер
Freitag | Friday | п'ятниця
Samstag | Saturday | субота
Sonntag | Sunday | неділя
Januar | January | січень
Februar | February | лютий
März | March | березень
April | April | квітень
Mai | May | травень
Juni | June | червень
Juli | July | липень
August | August | серпень
September | September | вересень
Oktober | October | жовтень
November | November | листопад
Dezember | December | грудень
der Tag | day | день
das Wochenende | weekend | вихідні
die Woche | week | тиждень
die zwei Wochen | fortnight | два тижні
der Monat | month | місяць
das Jahr | year | рік
das Jahrzehnt | decade | десятиліття
täglich | daily | щодня
wöchentlich | weekly | щотижня
alle zwei Wochen | fortnightly | кожних два тижні
monatlich | monthly | щомісяця
jährlich | yearly | щорічно
montags | on Mondays | в понеділок
jeden Sonntag | every Sunday | щонеділі
am letzten / nächsten Donnerstag | last / next Thursday | минулого / наступного четверга
die vorletzte Woche | the week before | позаминулого тижня
die übernächste Woche | the week after | тиждень після наступного
im Februar | in February | в лютому
in 2019 | in 2019 | у 2019 році
Welches Datum haben wir? | What is today's date? | Яка у нас дата?
der Frühling | spring | весна
der Sommer | summer | літо
der Herbst | autumn | осінь
der Winter | winter | зима
im Frühling / Winter | in spring / winter | навесні / взимку

		das wetter | weather
das wetter | weather | погода

Wie ist das Wetter? | How's the weather? | Як погода?
Wie ist die Wettervorhersage für heute / morgen? | What's the forecast for today / tomorrow? | Який прогноз погоди на сьогодні / завтра?
Ist es warm / kalt? | How warm / cold is it? | Чи тепло / холодно?
Wird es regnen? | Is it going to rain? | Чи буде дощ?
So ein schöner Tag! | What a lovely day! | Такий прекрасний день!
Was für furchtbares Wetter! | What awful weather! | Яка жахлива погода!
Es ist sonnig. | It's sunny. | Сонячно.
Es ist bewölkt / dunstig. | It's cloudy / misty. | Хмарно / туманно.
Es ist neblig. | It's foggy. | Це туман.
Es friert. | It's freezing. | Морозно.
Es regnet / schneit. | It's raining / snowing. | Йде дощ / сніг.
Es ist windig. | It's windy. | Вітряно.
Es ist stürmisch. | It's stormy. | Це штормово.
Es ist wechselhaft. | It's changeable. | Це мінливо.
Es ist... | It is... | Це є...
schön | nice | приємно
schlecht | horrible | погано
heiß | hot | гарячий
warm | warm | теплий
kühl | cool | прохолодний
nass | wet | мокрий
schwül | humid | вологий
mild | mild | помірний
die Temperatur | temperature | температура
die Sonne | sun | сонце
der Regen | rain | дощ
der Schnee | snow | сніг
der Hagel | hail | град
das Eis | ice | лід
der Wind | wind | вітер
der Sturm | gale | буря
der Dunst | mist | серпанок
der Nebel | fog | туман
der Donner | thunder | грім
der Blitz | lightning | блискавка
das Gewitter | thunderstorm | гроза
die Wolke | cloud | хмара

		die zahlen | numbers
die zahlen | numbers | цифри
eins | 1 | один
zwei | 2 | два
drei | 3 | три
vier | 4 | чотири
fünf | 5 | п'ять
sechs | 6 | шість
sieben | 7 | сім
acht | 8 | вісім
neun | 9 | дев'ять
zehn | 10 | десять
elf | 11 | одинадцять
zwölf | 12 | дванадцять
dreizehn | 13 | тринадцять
vierzehn | 14 | чотирнадцять
fünfzehn | 15 | п'ятнадцять
sechzehn | 16 | шістнадцять
siebzehn | 17 | сімнадцять
achtzehn | 18 | вісімнадцять
neunzehn | 19 | дев'ятнадцять
zwanzig | 20 | двадцять
dreißig | 30 | тридцять
vierzig | 40 | сорок
fünfzig | 50 | п'ятдесят
sechzig | 60 | шістдесят
siebzig | 70 | сімдесят
achtzig | 80 | вісімдесят
neunzig | 90 | дев'яносто
hundert | 100 | сто
tausend | 1 000 | тисяча
Million | 1 000 000 | мільйон

	verkehrsmittel | transport
verkehrsmittel | transport | транспортні засоби

der Hubschrauber | helicopter | вертоліт
der Rotor | rotor | ротор
das Rotorblatt | blade | лопаті ротора
die Nase | nose | ніс
das Cockpit | cockpit | кабіна
das Heck | tail | хвіст

		das wesentliche | the basics

die Straße | street | вулиця
der Pendler | commuter | пасажир
die Pendlerin | commuter | пасажир
der Fahrer | driver | водій
die Fahrerin | driver | водій
der Passagier | passenger | пасажир
die Passagierin | passenger | пасажир
der Fußgänger | pedestrian | пішохід
die Fußgängerin | pedestrian | пішохід
der Verkehr | traffic | трафік
der Verkehrsstau | traffic jam | затор
die Hauptverkehrszeit | rush hour | година пік
die öffentlichen Verkehrsmittel; ntpl | public transport | громадський транспорт
das Taxi | taxi | таксі
der Taxistand | taxi rank | стоянка таксі
die Anweisungen; fpl | directions | напрямки
die Strecke | route | маршрут
gehen | to walk | йти
fahren | to drive | їхати
zurückkehren | to return | повертатися
überqueren | to cross | перетинати
umdrehen | to turn | розвернутися
pendeln | to commute | їздити на роботу
die Landkarte | map | карта
die Fahrkarte | ticket | квиток
der Zeitplan | timetable | розклад

		mit dem auto | car
mit dem auto | car | автомобілем

der Minivan | people carrier | мікроавтобус
das Wohnmobil | motorhome | будинок на колесах
der Wohnwagen | caravan | караван
der Beifahrersitz | passenger seat | пасажирське сидіння
der Fahrersitz | driver's seat | водійське сидіння
der Rücksitz | back seat | заднє сидіння
der Kindersitz | child seat | дитяче крісло
der Dachgepäckträger | roof rack | багажник на даху
das Schiebedach | sunroof | люк
die Automatik | automatic | автоматичний
das Elektroauto | electric car | електричний автомобіль
das Hybridauto | hybrid | гібридний автомобіль
der Motor | engine | двигун
die Batterie | battery | акумулятор
die Bremse | brake | гальмо
das Gaspedal | accelerator | педаль газу
die Klimaanlage | air conditioning | кондиціонер
die Kupplung | clutch | зчеплення
der Tempomat | cruise control | круїз-контроль
das Auspuffrohr | exhaust (pipe) | вихлопна труба
der Benzintank | fuel tank | бензобак
das Schaltgetriebe | gearbox | механічна коробка передач
das Getriebe | transmission | спорядження
der Promillemesser | Breathalyser® | спиртометр
den Motor anlassen | to start the engine | запустити двигун
bremsen | to brake | гальмувати
überholen | to overtake | обганяти
parken | to park | парк
zurücksetzen | to reverse | скинути значення за замовчуванням
verlangsamen | to slow down | загальмувати
die Geschwindigkeit überschreiten | to speed | перевищити швидкість
anhalten | to stop | зупинитися

der Kofferraum | boot | багажник
das Dach | roof | дах
das Fenster | window | вікно
das Rad | wheel | колесо
die Tür | door | двері
der Kotflügel | wing | крило
der Autoreifen | tyre | автомобільна шина
die Motorhaube | bonnet | капот
die Windschutzscheibe | windscreen | лобове скло
der Scheibenwischer | windscreen wiper | склоочисник
der Seitenspiegel | wing mirror | бокове дзеркало
der Scheinwerfer | headlight | фара
die Stoßstange | bumper | бампер
das Nummernschild | number plate | номерний знак
der Blinker | indicator | сигнал повороту

das Armaturenbrett | dashboard | приладова панель
die Tankanzeige | fuel gauge | покажчик палива
der Schaltknüppel | gearstick | важіль коробки передач
das Handschuhfach | glove compartment | бардачок
die Handbremse | handbrake | ручне гальмо
die Kopfstütze | headrest | підголівник
die Zündung | ignition | запалювання
der Rückspiegel | rearview mirror | дзеркало заднього виду
das Navi | sat nav | навігаційна система
der Sicherheitsgurt | seatbelt | ремінь безпеки
der Tachometer | speedometer | спідометр
das Lenkrad | steering wheel | кермо

		das fahren | driving
das fahren | driving | водіння
die Schnellstraße | dual carriageway | швидкісна дорога
die einspurige Landstraße | single-track road | односмугова сільська дорога
der Asphalt | tarmac® | асфальт
die Ecke | corner | кут
die Ausfahrt | exit | вихід; виїзд
die Zufahrtsstraße | slip road | під'їзна дорога
die Parkbucht | layby | стоянка
die Geschwindigkeitsbegrenzung | speed limit | обмеження швидкості
die Umleitung | diversion | об’їзд
der Führerschein | driving licence | посвідчення водія
der Fahrzeugschein | car registration document | документ про реєстрацію транспортного засобу
die Kraftfahrzeugversicherung | car insurance | страхування автотранспорту
die Autovermietung | car hire / rental | прокат автомобіля
das bleifreie Benzin | unleaded petrol | неетилований бензин
der Diesel | diesel | дизель
die Straßenarbeiten; fpl | roadworks | дорожні роботи
der Behindertenparkplatz | accessible parking space | місце для паркування інвалідів
die Brücke | bridge | міст
der Parkplatz | car park | автостоянка
die Autowaschanlage | car wash | автомийка
die Zapfsäule | fuel pump | паливний насос
die Kreuzung | junction | переправа
die Bordkante | kerb | бордюр
die Fahrspur | lane | провулок
der Bahnübergang | level crossing | залізничний переїзд
die Autobahn | motorway | шосе
die Parkuhr | parking meter | паркомат
die Parklücke | parking space | місце для паркування
der Bürgersteig | pavement | тротуар
die Tankstelle | petrol station | автозаправна станція
das Schlagloch | pothole | вибоїна
die Straße | road | вулиця
der Kreisverkehr | roundabout | круговий рух
die Raststätte | service area | зона обслуговування
die Geschwindigkeitskamera | speed camera | камера контролю швидкості
der Pylon | traffic cone | дорожній конус
die Verkehrsampel | traffic lights | світлофор
der Verkehrspolizist | traffic warden | працівник автополіції
die Verkehrspolizistin | traffic warden | працівник автополіції
der Tunnel | tunnel | тунель
der Zebrastreifen | zebra crossing | пішохідний перехід

		probleme mit dem auto | car trouble
probleme mit dem auto | car trouble | проблеми з автомобілем
der Unfall | accident | нещасний випадок
die Panne | breakdown | поломка
der Zusammenstoß | collision | зіткнення
der platte Reifen | flat tyre | спущена шина
kaputtgehen | to break down | зламатися
einen Unfall haben | to have an accident | потрапити в аварію
einen platten Reifen haben | to have a flat tyre | мати спущене колесо
den Reifen wechseln | to change a tyre | поміняти шину
abschleppen | to tow | відбуксирувати
der Airbag | airbag | подушка безпеки
das Frostschutzmittel | antifreeze | антифриз
das Notruftelefon | emergency phone | екстрений телефон
die Garage | garage | гараж
die Warnweste | hi-viz vest | попереджувальний жилет
der Wagenheber | jack | домкрат
die Starthilfekabel; ntpl | jump leads | з'єднувальні кабелі
der Mechaniker | mechanic | механік
die Mechanikerin | mechanic | механік
die Schneeketten; fpl | snow chains | ланцюги протиковзання
das Reserverad | spare wheel | запасне колесо
der Abschleppwagen | tow truck | евакуатор
das Warndreieck | warning triangle | попереджувальний трикутник

		mit dem bus | bus
mit dem bus | bus | автобусом
die Buslinie | bus route | автобусна лінія
die Busspur | bus lane | автобусна смуга
der Busbahnhof | bus station | автовокзал
der Fahrpreis | fare | вартість проїзду
der volle Fahrpreis | full fare | повна вартість проїзду
der halbe Fahrpreis | half fare | половина вартості проїзду
die Ermäßigung | concession | знижка
der Rollstuhlzugang | wheelchair access | доступ для інвалідних візків
der Nachtbus | night bus | нічний автобус
der Shuttlebus | shuttle bus | маршрутний автобус
der Schulbus | school bus | шкільний автобус
der Flughafenbus | airport bus | автобус до аеропорту
der Reisebus | tour bus | туристичний автобус
den Bus nehmen | to catch the bus | сісти на автобус
der Bus | bus | автобус
das Wartehäuschen | bus shelter | автобусна зупинка
die Bushaltestelle | bus stop | автобусна зупинка
der Reisebus | coach | тренер
der Kleinbus | minibus | мікроавтобус
der Trolleybus | trolley bus | тролейбус

		mit dem fahrrad | bicycle
mit dem fahrrad | bicycle | на велосипеді
der Radfahrer | cyclist | велосипедист
die Radfahrerin | cyclist | велосипедист
das Mountainbike | mountain bike | гірський велосипед
das Rennrad | road bike | гоночний велосипед
das Hybridrad | hybrid bike | гібридний велосипед
der Fahrradständer | bike stand | стійка для велосипеда
der Fahrradträger | bike rack | багажник для велосипеда
der Kindersitz | child seat | дитяче крісло
der Fahrradweg | cycle lane | велосипедна доріжка
der Radweg | cycle path | велосипедна доріжка
das Reparaturkästchen | puncture repair kit | набір для ремонту проколів
die Warnweste | reflective vest | попереджувальний жилет
die Radlerhose | cycling shorts | велосипедні шорти
radfahren | to cycle | кататись на велосипеді
eine Fahrradfahrt machen | to go for a bike ride | поїхати на велосипедну прогулянку

die Klingel | bell | дзвоник
das Fahrradschloss | bike lock | замок велосипеда
der Frontscheinwerfer | front light | фара
der Helm | helmet | шолом
die Fahrradpumpe | pump | велосипедний насос
der Reflektor | reflector | рефлектор

die Bremse | brake | гальмо
die Lenkstange | handlebars | кермо
die Gänge; mpl | gears | шестірні
die Querstange | crossbar | перекладина
der Sattel | saddle | сідло
der Rahmen | frame | рама
das Pedal | pedal | педаль
die Kette | chain | ланцюг
das Rad | wheel | колесо
der Radreifen | tyre | шина колеса

		mit dem motorrad | motorbike
mit dem motorrad | motorbike | мотоциклом
der Motorradfahrer | motorcyclist | мотоцикліст
die Motorradfahrerin | motorcyclist | мотоцикліст
das Moped | moped | мопед
der Roller | scooter | скутер
der Benzintank | fuel tank | бензобак
die Lenkstange | handlebars | кермо
der Scheinwerfer | headlight | фара
der Kotflügel | mudguard | крило
der Seitenständer | kickstand | бічна підставка
die Lederbekleidung | leathers | шкіряний одяг
die Stiefel; mpl | boots | чоботи
der Sturzhelm | crash helmet | шолом
die Helmkamera | helmet cam | камера шолома
die Lederhandschuhe; mpl | leather gloves | шкіряні рукавички
die Lederjacke | leather jacket | шкіряна куртка
das Motorrad | motorbike | мотоцикл

		mit dem zug | rail travel
mit dem zug | rail travel | потягом
das Eisenbahnnetz | rail network | залізнична мережа
der Hochgeschwindigkeitszug | high-speed train | швидкісний поїзд
der Personenzug | passenger train | пасажирський поїзд
der Güterzug | freight train | вантажний поїзд
der Nachtzug | sleeper | нічний поїзд
der Wagen | coach | вагон
die Linie | line | лінія
die U-Bahnstation | metro station | станція метро
die Gepäckaufbewahrung | left luggage | камера зберігання багажу
die Bahnkarte | railcard | квиток на поїзд
die einfache Fahrkarte | single ticket | квиток в один кінець
die Rückfahrkarte | return ticket | зворотний квиток
das Online-Ticket | e-ticket | онлайн-квиток
prioritär | first-class | перший клас
der Ruhebereich | quiet coach | тихий вагон
die Sitzplatzreservierung | seat reservation | бронювання місця
umsteigen | to change trains | пересідати
eine Fahrkarte entwerten | to validate a ticket | валідувати квиток
der Wagen | carriage | вагон
der Liegeplatz | couchette | спальне місце
der Anzeigetafel | departure board | табло
der Bahnbeamte | guard | службовець залізниці
die Bahnbeamtin | guard | службовець залізниці
die S-Bahn | light railway | приміський поїзд
die Lokomotive | locomotive | локомотив
die Gepäckablage | luggage rack | багажна полиця
die U-Bahn | metro | метро
der Bahnsteig | platform | платформа
der Gepäckträger | porter | носильник
die Gepäckträgerin | porter | носильник
das Bordrestaurant | restaurant car | вагон-ресторан
das Stellwerk | signal box | сигнальна коробка
die Schiebetüren; fpl | sliding doors | розсувні двері
die Fahrkartensperre | ticket barrier | квитковий бар'єр
der Fahrscheinautomat | ticket machine | квитковий автомат
der Fahrkartenschalter | ticket office | каса
die Schienen; fpl | track | рейки
der Zug | train | поїзд
der Bahnhof | train station | станція
die Straßenbahn | tram | трамвай
der Entwerter | validation machine | машина перевірки

		mit dem flugzeug | air travel
mit dem flugzeug | air travel | літаком
die Fluglinie | airline | авіакомпанія
der Terminal | terminal | термінал
Ankünfte | Arrivals | Прибуття
Abflüge | Departures | Відбуття
der Sicherheitsdienst | security | служба безпеки
die Passkontrolle | passport control | паспортний контроль
die Zollabfertigung | customs | митне оформлення
das Flugbegleitpersonal | cabin crew | стюардеса
die Business Class | business class | бізнес-клас
die Touristenklasse | economy class | економ-клас
der Gang | aisle | коридор
der Klapptisch | tray table | розкладний стіл
das Gepäckfach | overhead locker | багажне відділення
der Sicherheitsgurt | seatbelt | ремінь безпеки
die Tragfläche | wing | крило
die Maschine | engine | машина
der Rumpf | fuselage | корпус
der Frachtraum | hold | вантажний трюм
das aufgegebene Gepäck | hold luggage | зареєстрований багаж
das Übergepäck | excess baggage | надлишковий багаж
das Handgepäck | hand / cabin baggage | ручна поклажа
der Anschlussflug | connecting flight | рейс з пересадкою
der Jetlag | jetlag | часовий пояс
(Online) einchecken | to check in (online) | зареєструватися (онлайн)
das Flugzeug | aeroplane | літак
der Flughafen | airport | аеропорт
die Gepäckausgabe | baggage reclaim | отримання багажу
die Bordkarte | boarding card | посадковий талон
die Kabine | cabin | кабіна
der Check-in-Schalter | check-in desk | стійка реєстрації
das Cockpit | cockpit | кабіна
die Anzeigetafel | departure board | табло
der Duty-free-Shop | duty-free shop | магазин безмитної торгівлі
die Reisetasche | holdall | дорожня сумка
der Kofferkuli | luggage trolley | багажний візок
der Reisepass | passport | паспорт
der Pilot | pilot | пілот
die Pilotin | pilot | пілот
die Landebahn | runway | злітно-посадкова смуга
der Koffer | suitcase | валіза

		fähre und boot | ferry and boat travel
fähre und boot | ferry and boat travel | пором і катер
die Überfahrt | ferry crossing | поромна переправа
der Fährhafen | ferry terminal | поромний порт
das Autodeck | car deck | автомобільна палуба
das Deck | deck | палуба
der Schornstein | funnel | димова труба
das Bullauge | porthole | ілюмінатор
das Rettungsboot | lifeboat | рятувальний човен
der Bug | bow | носова частина
das Heck | stern | задня частина
der Hafen | port | порт
der Jachthafen | marina | пристань для яхт
der Kanal | canal | канал
die Küstenwache | coastguard | берегова охорона
der Kapitän | captain | капітан
die Besatzung | crew | екіпаж
der Fußpassagier | foot passenger | пішохід
die Fußpassagierin | foot passenger | пішохід
an Bord gehen | to board | сісти на борт
