org.leo.dictionary.config.entity.ParseWords:de:en; uk:die+; das+; der+:%5C%7C:%3B:%3B:%5Ct::German+most+used

	General 

ab | from | з
die Puppe | doll | лялька
der Quadratmeter | square metre | квадратний метр
der Rasierapparat | shaver | бритва
sich rasieren | to shave | бритися
reißen | to tear | рвати
der Reißverschluss | zip | блискавка
der Rowdy | hooligan | хуліган
rücksichtslos | careless | безпечний
sanft | gentle | ніжний
das Schloss | lock | замок
schminken | to put on make | up | накладати макіяж
der Schmuck | jewellery | прикраси
die Schublade | drawer | ящик
der Schuppen | shed | сарай
der Schwager | brother | in | law | шурин
schwanger | pregnant | вагітна
die Schwiegermutter | mother | in | law | теща
der Schwiegervater | father | in | law | тесть
sehr geehrte(r) Herr / Frau | dear Sir / Madam | шановний пан / пані
selbständig | independently | самостійно
seltsam | strange | дивний
die Senioren | senior citizens | пенсіонери
die Spülküche | utility room | прачечна; кухня
die Stiefmutter | stepmother | мачуха
der Stiefvater | stepfather | пасинок
die Streichhölzer | matches | сірники
der Streit | quarrel | сварка
stumm | silent | безмовний
sympathisch | nice | приємний
die Tastatur | keyboard | клавіатура
taub | deaf | глухий
der Teppichboden | fitted carpet | килимове покриття
der Traum | dream | мрія
träumen | to dream | мріяти
die Verantwortung | responsibility | відповідальність
das Vergnügen | pleasure | задоволення
vergrößern | to enlarge | збільшувати
vernünftig | reasonable | розумний
verrückt | mad | божевільний
das Vertrauen | trust | довіра
der Waschlappen | flannel | мочалка
weinen | to cry | плакати
das Werkzeug | implement | інструмент
der Wintergarten | conservatory | зимовий сад
winzig | tiny | крихітний
die Witwe | widow | вдова
der Witwer | widower | вдівець
zornig | angry | сердитий
der Zufall | by chance | випадок
zunehmen | to put on weight | набирати вагу

	Local area, facilities and getting around 

der Acker | field | поле
die Allee | avenue | алея
der Bach | stream | струмок
bauen | to build | будувати
der Bauer | farmer | фермер
der Bauernhof | farm | ферма
der Baum | tree | дерево
der Berg | mountain | гора
das Blatt | piece of paper | аркуш паперу
der Boden | ground | ґрунт
die Bundesstraße | A | road | автодорога
der Bürgersteig | pavement | тротуар
die Bushaltestelle | bus stop | автобусна зупинка
das Dach | roof | дах
die Einbahnstraße | one way street | вулиця з однією стороною
das Feld | field | поле
flach | flat – плоский
anbauen | to grow (crops) | вирощувати
anschnallen (sich) | to fasten seat belt | пристебнутися
außer Betrieb | out of order | не працює
Autobahnkreuz | motorway junction | перехрестя автобанів
Bahnübergang | level crossing | залізничний переїзд
Baustelle | building site | будівництво; ремонт 
befinden sich | to be situated | розташовуватись
beilegen | to enclose | долучати
Eimer | bucket | відро
einwerfen | to post (a letter) | закидати (листа в поштову скриньку)
entwerten | to cancel a ticket | анулювати квиток
Fahrzeug | vehicle | транспортний засіб
Fels | rock | скеля
fließen | to flow | текти
gebrauchen | to use | вживати
Gegenteil | opposite | протилежний
Gipfel | summit | вершина
Hauptverkehrszeit | rush hour | година пік
hupen | to hoot | сигналізувати
Kennzeichen | registration number | реєстраційний номер
Klippe | cliff | скеля
Kofferraum | boot (of car) | багажник
Kreis(verkehr) | circle (roundabout) | кільце
Lenkrad | steering wheel | кермо
liefern | to deliver | доставляти
Luftdruck | tyre pressure | тиск у шинах
öffentlich | public | публічний
Reinigung | dry cleaning | сухе чищення
Rückspiegel | rear | view mirror | заднє дзеркало
Rundfunk | radio | радіо
Sicherheit | safety | безпека
Sicherheitsgurt | seatbelt | ремінь безпеки
Stau | hold up; traffic jam | затор
Steuer(rad) | steering wheel | кермо
überfahren | to run over | збити
überholen | to overtake | обігнати
überqueren | to cross (road) | перетнути
umgeben von | surrounded by | оточений чимось
Umleitung | diversion | обхід
Vorfahrt | priority; right of way | пріоритет
wachsen | to grow | рости
Weinberg | vineyard | виноградник
Windschutzscheibe | windscreen | лобове скло
Zebrastreifen | zebra | crossing | пішохідний перехід
zusammenstoßen mit | to collide with | зіткнутися з

	Sport, outdoor pursuits and healthy lifestyle 

der Auge | eye | око
der Bauch | tummy | живіт
das Bein | leg | нога
das Gesicht | face | обличчя
die Haare | hair | волосся
der Hals | neck; throat | шия; горло
das Knie | knee | коліно
der Körper | body | тіло
der Mund | mouth | рот
die Nase | nose | ніс
das Ohr | ear | вухо
die Schulter | shoulder | плече
das Angeln | fishing | рибалка
die Angelrute | fishing rod | вудка
das Bad | bath | ванна
das Baden | bathing | купання
der Badeanzug | swimming suit | купальник 
der Badeort | resort | курорт
Bewegen | to move | рухатися
das Endspiel | final game	 | фінал гри
das Freibad | outdoor swimming pool | відкритий басейн
der Fuß | foot | стопа
der Fußball | football | футбол
Gewinnen | to win | перемагати
das Hallenbad | indoor swimming pool | закритий басейн
das Joggen | jogging | біг
das Kanufahren | canoeing | каное
das Kegeln | skittles | кегельбан
das Klettern | climbing | альпінізм
das Laufen | running | біг
die Leichtathletik | athletics | легка атлетика
die Liga | league | ліга
die Mannschaft | team | команда
das Netz | net | мережа
das Reiten | horse riding | верхова їзда
das Rennen | race | гонка
das Rollbrett | skateboard | скейтборд
der Roller | scooter | самокат
das Rollschuhlaufen | roller skating | ковзанярство
das Ruderboot | rowing boat | човен
das Rudern | rowing | гребля
das Schießen | shooting | стрільба
das Schlagen | hitting | удар
der Schläger | racquet; stick; bat | ракетка; палиця; клюшка
das Schließfach | locker | шафа
das Schlittschuhlaufen | ice skating | катання на ковзанах
das Schwimmbad | swimming pool | басейн
das Schwimmen | swimming – плавання
der See | lake | озеро 
das Segeln | sailing | вітрильний спорт
das Skifahren | skiing | лижний спорт
der Skilehrer | ski instructor | інструктор з лиж
die Skilehrerin | ski instructor | інструктор з лиж
das Spazierengehen | going for a walk | прогулянка
der Spaziergang | walk | прогулянка
das Spiel | game | гра
Spielen | to play | грати 
der Spieler | player | гравець
die Spielerin | player | гравець
das Spielzeug | toy | іграшка
Sport treiben | to do sport | займатися спортом
der Sportplatz | sports ground – спортивний майданчик 
Springen | to jump | стрибати
das Stadion | stadium | стадіон
Steigen | to climb | підніматися
das Surfbrett | surfboard | серфінг
der Umkleideraum | changing room | роздягальня
der Verein | club | клуб
Verlieren | to lose | програвати
das Wandern | hiking | похід
die Wanderung | hike | похід
Werfen | to throw | кидати
Windsurfen | to windsurf | віндсерфінг
die Biene | bee | бджола
die Erkältung | a cold | застуда
das Fieber | fever | лихоманка
die Fliege | fly | муха
Fühlen | to feel | відчувати
das Gefühl | feeling | почуття
Gesund | healthy | здоровий
die Grippe | flu | грип
die Halsschmerzen | sore throat | біль у горлі
das Hansaplast | sticking plaster | пластир
das Heftpflaster | sticking plaster | пластир
Helfen | to help | допомагати
der Husten | cough | кашель
Husten | to cough | кашляти
die Kopfschmerzen | headache | головний біль
Krank | ill | хворий
das Krankenhaus | hospital | лікарня
der Krankenpfleger | nurse (male/female) | медсестра/медбрат
die Krankenschwester | nurse (male/female) | медсестра/медбрат
der Krankenwagen | ambulance | швидка допомога
der Magen | stomach | шлунок
das Medikament | medicine | медикамент
die Operation | operation | операція 
der Patient | patient | пацієнт/пацієнтка
die Patientin | patient | пацієнт/пацієнтка
das Rezept | recipe | рецепт
die Schmerzen | pain | біль
der Schnupfen | cold | насморк
Seekrank | seasick | морська хвороба
Sprechen | to speak | говорити
die Sprechstunde | surgery hours | прийом
Stechen | to sting | жалити
der Stich | sting | укус
die Tablette | tablet; pill | таблетка
der Unfall | accident | нещасний випадок
Verletzen (sich) | to injure (o.s.) | поранити (себе)
Weh tun | to hurt (e.g. my arm hurts) | болить (наприклад, болить моє плече)
die Wespe | wasp | оса
die Wunde | wound | рана
der Zahn (Zahnschmerzen) | tooth (ache) | зуб (біль у зубі)
der Zahnarzt | dentist | дантист
die Zahnärztin | dentist | дантист
die Zahnbürste | toothbrush | зубна щітка
die Zahnpasta | toothpaste | зубна паста
Höher | higher | вище
der Anfänger | beginner | початківець
die Anfängerin | beginner | початківець
Bluten | to bleed | кровотеча
die Blutprobe | blood test | кровний тест
Brennen | to burn | палити
die Brust | chest | груди
der Chirurg | surgeon | хірург
die Chirurgin | surgeon | хірург
der Durchfall | diarrhoea | діарея
der Ellbogen | elbow | лікоть
Erbrechen (sich) | to be sick | блювати (себе)
das Ereignis | event | подія
der Erfolg | success | успіх
das Ergebnis | result; score | результат; результат
Erhalten | to receive | отримувати
Erholen (sich) | to recover; get better | одужувати
die Erleichterung | relief | полегшення
Erreichen | to reach; catch | досягати; ловити
die Erste Hilfe | first aid | перша допомога
Fangen | to catch | ловити
das Fußgelenk | ankle | щиколотка
das Gehirn | brain | мозок
der Geruch | smell | запах
Geschwollen | swollen | набряклий
der Gips(verband) | plaster | гіпс
die Glatze | bald patch | лисина
das Handgelenk | wrist | зап'ясток
die Haut | skin | шкіра
Heben | to lift; raise | піднімати
das Heimweh | homesickness | туга за домом
der Helm | helmet | каска
der Heuschnupfen | hay fever | сінна лихоманка
die Höhe | height | висота
die Höhle | cave | печера
der Hustensaft | cough mixture | кашель
Jagen | to hunt | полювати
das Kinn | chin | підборіддя
der Knochen | bone | кістка
Leiden | to suffer | страждати
die Magenverstimmung | stomach upset | розлад шлунку
der Meister | champion(ship) | чемпіон/чемпіонка
die Meisterin | champion(ship) | чемпіон/чемпіонка
die Menge | quantity (crowd) | кількість (толпа)
Messen | to measure | вимірювати
Nackt | naked | оголений
der Pfeil | arrow | стріла
Pflegen | to look after (patient) | доглядати (пацієнта)
der Pokal | cup (trophy) | кубок
das Röntgenbild | x | ray | рентгенівський знімок
die Salbe | cream; ointment | мазь
Schaden | to do harm | завдавати шкоду
der Schaden | damage | шкода
der Schiedsrichter | referee | суддя
die Schiedsrichterin | referee | суддя
Schlucken | to swallow | ковтати
der Sieg | win; victory | перемога
der Sonnenstich | sunstroke | удар сонцем
die Sorge (sich Sorgen machen) | worry (to worry) | турбота (турбуватися)
Sorgen für | to look after | дбати про
die Spritze | injection | ін'єкція
Tauchen | to dive | занурюватися
Teilnehmen | to take part | брати участь
das Turnier | tournament | турнір
Übergeben (sich) | to be sick | блювати (себе)
Unentschieden | undecided; drawn (match) | нічийний (матч)
Untersuchen | to examine (patient) | обстежувати
der Verband | bandage | бинт
Verstauchen (sich) | to sprain | вивихнути (себе)
Verstopft | constipated | закритий
die Wange | cheek | щока
der Wettbewerb | competition | конкурс
der Wettkampf | competition | змагання
der Zeh | toe | палець на нозі
die Zunge | tongue – язик

	Food and drink as aspects of culture and health 

das Abendessen | dinner; evening meal | вечеря
der Appetit (guten Appetit!) | appetite (enjoy your meal!) | апетит (смачного!)
der Durst (durstig) | thirst(y) | спрага (спраглий)
die Flamme | flame | полум'я
die Flasche | bottle | пляшка
Frisch | fresh | свіжий
das Frühstück | breakfast | сніданок
die Gabel | fork | виделка
Gemischt | mixed | змішаний
das Gericht | dish; course | страва
das Getränk | drink | напій
das Glas | glass | склянка
Grillen | to grill/barbecue | смажити на грилі/барбекю
die Imbiss(stube) | snack (bar) | закусочна
das Kännchen | small pot | кувшиночка
die Kantine | canteen | столова
die Küche | kitchen | кухня
Lecker | delicious | смачний
der Löffel | spoon | ложка
die Mahlzeit | meal | їжа
das Messer | knife | ніж
das Mittagessen | lunch | обід
der Nachtisch | dessert | десерт
Schmecken | to taste | смакувати
Schnell | quick | швидкий
der Schnellimbiss | fast food restaurant | швидка закусочна
die Schüssel | bowl | миска
die Selbstbedienung | self | service | самообслуговування
die Speisekarte | menu | меню
der Speisewagen | dining car | вагон | ресторан
der Supermarkt | supermarket – супермаркет
Süß | sweet | солодкий
die Tageskarte | menu | меню
die Tasse | cup | чашка
der Tee | tea | чай 
Tee / Kaffee trinken | to have afternoon tea / coffee | пити чай / каву
der Teller | plate | тарілка
Trinken | to drink | пити
die Untertasse | saucer | блюдце
Zum Mitnehmen | take away meals | на винос
Zum Wohl! | cheers! | будьмо!
Alkoholfrei | non | alcoholic | безалкогольний
das Bier | beer | пиво
die Cola | coke | кола
der Fruchtsaft | fruit juice | фруктовий сік
der Kaffee | coffee | кава 
die Limonade | lemonade | лимонад
die Milch | milk | молоко
der Saft | juice | сік
der Sprudel | fizzy drink | газований напій
das Wasser | water | вода 
der Wein (Rot / Weiß) | wine (red / white) | вино (червоне/біле)
die Ananas | pineapple | ананас
der Apfel | apple | яблуко
die Apfelsine | orange | апельсин
die Aprikose | apricot | абрикос
der Aufschnitt | sliced meats | нарізка
die Birne | pear; light bulb | груша; лампочка
der Blumenkohl | cauliflower | кольрабі
die Bockwurst | boiled sausage | відварна сосиска
die Bohnen | beans | квасоля
die Bonbons | sweets | цукерки
Braten | to roast | смажити
die Bratkartoffeln | fried potatoes – смажена картопля
die Bratwurst | sausage fried | жарена сосиска
das Brot | bread | хліб
das Brötchen | bread roll | булочка
das Butterbrot | sandwich | бутерброд
die Chips | crisps | чіпси 
die Kartoffelschips | crisps | чіпси 
die Cornflakes | cereals | пластівці
das Ei | egg | яйце
der Eintopf | stew | рагу
das Eis | ice cream | морозиво
die Erbsen | peas | горошок
die Erdbeere | strawberry | полуниця
Essen | to eat | їсти
das Essen | food | їжа
der Essig | vinegar | оцет
das Fleisch | meat | м'ясо
die Forelle | trout | форель
die Frikadelle | meatball | фрикаделька
die Gans | goose | гусак
das gekochte Ei | boiled egg | варене яйце
das Gemüse | vegetables | овочі
das Gewürz | spice | спеція
die Gurke | cucumber | огірок
das Hähnchen | chicken (food) | курка
die Himbeere | raspberry | малина
der Honig | honey | мед
das Kalbfleisch | veal | теляче м'ясо
die Karotte | carrot | морква
der Kartoffelsalat | potato salad | картопляний салат
der Kartoffelbrei | mashed potato | картопляне пюре
das Kartoffelpüree | mashed potato | картопляне пюре
der Käse | cheese | сир
das Kaugummi | chewing gum | жувальна гумка
die Kekse | biscuits | печиво
die Kirsche | cherry | вишня
der Kohl | cabbage | капуста
der Kopfsalat | lettuce | салат
das Kotelett | chop; cutlet | котлета
der Kuchen | cake | торт
der Lachs | salmon | лосось
das Lamm(fleisch) | lamb= animal (lamb =meat) | ягня (ягнятина)
die Leber | liver | печінка
die Marmelade | jam | варення
die Nudeln | pasta | макарони
die Nuss | nut | горіх 
das Obst | fruit | фрукти
das Öl | oil | олія
die Orangenmarmelade | marmalade | апельсинове варення
die Pampelmuse | grapefruit | грейпфрут
der Pfeffer | pepper | перець
der Pfirsich | peach | персик
die Pflaume | plum | слива
der Pilz | mushroom | гриб
die Pommes (frites) | chips | картопля фрі
die Pralinen | chocolates | шоколадні цукерки
der Riegel | bar (e.g. of chocolate) | плитка (наприклад, шоколаду)
das Rindfleisch | beef | яловичина
der Rosenkohl | brussel sprouts | капуста брюссельська
das Salz | salt | сіль
die Salzkartoffeln | boiled potatoes | варена картопля
das Sauerkraut | pickled cabbage | квашена капуста
der Schaschlick | kebab | шашлик
die Scheibe | slice | кусень
der Schinken | ham | шинка
die Schlagsahne | whipped cream | вершки
das Schnitzel | escalope; schnitzel | шніцель
die Schokolade | chocolate | шоколад
die schwarze Johannisbeere | blackcurrant | чорна смородина
das Schweinefleisch | pork | свинина
der Senf | mustard | гірчиця
die Soße | gravy; sauce | соус
der Speck | bacon | бекон
das Spiegelei | fried egg | яєчня
der Spinat | spinach | шпинат
die Suppe | soup | суп
die Süßigkeiten | sweets | солодощі
das Toastbrot | toast | тост
die Traube | grape | виноград
die Weintraube | grape | виноград
der Truthahn | turkey | індик
Weiß (Weißbrot) | white (white bread) | білий (біле хлібець)
die Wurst | sausage – ковбаса
die Zitrone | lemon | лимон
der Zucker | sugar | цукор
die Zwiebel | onion | цибуля
die Büchse | can | бляшанка
die Dose (Dosenöffner) | can; tin (opener) | банка; консервна бляшанка (відкривач)
der Karton | cardboard box | картонна коробка
der Korb | basket | кошик
die Packung | packet | пакет
das Paket | packet | пакет
die Portion | helping; portion | порція
die Schachtel | box (e.g. chocolates) | коробка (наприклад, цукерок)
die Tüte | bag (= paper/plastic) | пакет (паперовий/пластиковий)
das Besteck | cutlery | столові прибори
Bestehen aus | to consist of | складатися з
die Diät | diet (to be on a diet) | дієта (бути на дієті)
Dienen | to serve | подавати
Enthalten | to contain | містити
das Fett | fat; grease | жир
das Geflügel | poultry | птиця
der Geschmack | taste | смак
Gießen | to pour | наливати
Pikant | spicy | пікантний
Probieren | to try | пробувати
Reichen | to pass (e.g. salt) | передавати (наприклад, сіль)
Riechen | to smell (sth) | чути запах
Satt | full up (food) | наїдений
Schälen | to peel | чистити
der Spargel | asparagus | спаржа
der Vegetarier | vegetarian | вегетаріанець / вегетаріанка
die Vegetarierin | vegetarian | вегетаріанець / вегетаріанка
die Verpackung | packaging – упаковка

	Socialising, special occasions and festivals 

sich amüsieren | to enjoy oneself | розважатися
die Ansichtskarte | postcard (picture) | листівка (з малюнком)
ausgeben | to spend (money) | витрачати
ausgehen | to go out | виходити
die Auskunft | information | інформація
die Ausstellung | exhibition | виставка
basteln | to make things; do dIY | майструвати
bestellen (abbestellen) | to order (to cancel) | замовляти (скасовувати)
bezahlen | to pay (for) | оплачувати
das Bild | picture | малюнок
der Blumenhändler | flower (florist) | квітковий торговець
der Chor | choir | хор
das Computerspiel | computer game | комп'ютерна гра
die Sehenswürdigkeiten besichtigen | to go sight | seeing | оглядати визначні місця
einkaufen (gehen) | to shop; go shopping | робити покупки (іти в магазин)
die Einladung | invitation (to invite) | запрошення (запрошувати)
der Eintritt | admission charge | вхідний квиток
die Eisbahn | ice rink (to ice skate) | ковзанка (ковзанка)
die Erfrischungen | refreshments | охолодження
das Fest | festival; party | свято; вечірка
das Feuerwerk | fire(works) | феєрверк
frei (im Freien) | free; (in the open air) | вільний; (на свіжому повітрі)
die Freizeit(beschäftigung) | free time; leisure (activity) | вільний час; дозвілля (заняття)
Frohe Weihnachten | Happy Christmas | Веселого Різдва
der Heiligabend | Christmas Eve | Різдвяний вечір
Ostern | Easter | Великдень
der Silvester | New Year's Eve | Новий рік
das Weihnachten | Christmas | Різдво
der Weihnachtsbaum | Christmas/fir tree | ялинка
der Tannenbaum | Christmas/fir tree | ялинка
funktionieren | to work (function) | працювати (функціонувати)
genießen | to enjoy | насолоджуватися
das Geschenk | present | подарунок
das Handy | mobile phone | мобільний телефон
der Herr | Mr; gentleman | пан
Herr Ober! | waiter! | офіціант!
das Herz | heart | серце
im Freien | open air (in the) | на відкритому повітрі
der Jugendklub | youth club | молодіжний клуб
die Jugendlichen (r) | young person | молодь
jung | young | молодий
der Kalender | diary (for appointments) | календар; щоденник (записів)
der Terminkalender | diary (for appointments) | календар; щоденник (записів)
die Karte(n) | card (playing/greetings) | картка (гральна / вітальна)
kaufen | to buy | купувати
das Kaufhaus | department store | універмаг
kennen | to know (people) | знати (людей)
kennen lernen | to get to know | познайомитися
kosten(los) | to cost (free) | коштувати (безкоштовно)
der Kuss | kiss | поцілунок
lachen | to laugh – сміятися
die Lust haben | to feel like (doing something) | мати бажання
malen | to paint | малювати
das Mitglied | member | член
der Preis | price; prize | ціна; приз
preiswert | cheap; value for money | вигідний
die Rechnung | bill (e.g. restaurant) | рахунок (наприклад, у ресторані)
reservieren | to reserve | зарезервувати
sammeln | to collect | збирати
das Schach | chess | шахи
schenken | to give (a present) | дарувати (подарунок)
schicken | to send (to text / e | mail) | відправляти (повідомлення / електронного листа)
der Schlussverkauf | sale | розпродаж
das Sonderangebot | special offer | спеціальна пропозиція
spannend | exciting | захоплюючий
der Spaß | fun | розвага
spät | late | пізно
teuer | expensive; dear | дорогий
treffen | to meet (by intention) | зустрічатися (з наміром)
der Treffpunkt | meeting place | місце зустрічі
verbringen | to spend (=time) | проводити (час)
verkaufen | to sell (out) | продавати (розпродавати)
vorstellen | to introduce oneself | представлятися
zahlen | to pay (the bill) | платити (рахунок)
begegnen | to meet | зустрічатися
begleiten | to accompany | супроводжувати
bekannt | well | known | відомий
der Bekannte | acquaintance | знайомий
drucken | to print | друкувати
der Drucker | printer | принтер
empfehlen | to recommend | рекомендувати
das Ergebnis | result; score | результат; оцінка
die Ermäßigung | discount | знижка
der Faschingsdienstag | Shrove Tuesday | Вівторок масляної неділі
faulenzen | to laze about | ліниво пропускати час
feiern | to celebrate | відзначати
der Festtag | public holiday | святковий день
die Gebühr | fee | плата
gebührenfrei | free | безкоштовно
gratis | free | безкоштовно
das Gemälde | painting | картина
herunterladen | to download | завантажувати
die Hochzeit | wedding | весілля
das Kabel | cable; wiring | кабель; проводка
der Karneval | carnival | карнавал
die Kerze | candle | свічка
die Messe | mass (church) | меса (церковна)
plaudern | to chat | балакати
der Schaufensterbummel | window shopping | прогулянка магазинами
schieben | to push | товкти
schmücken | to decorate (garlands) | прикрашати (гірляндами)
die Sitten | customs; traditions | звичаї; традиції
die Tastatur | keyboard (computer) | клавіатура (комп'ютера)
tippen | to type | печатати
überraschen | to surprise | дивувати
die Verabredung | appointment | побачення
die Veranstaltung | event | подія
vorziehen | to prefer | віддавати перевагу



	TV, films and music 
die Blockflöte | recorder | блокфлейта
die Flöte | flute | флейта
die Querflöte | flute | флейта
die Geige | violin | скрипка
die Gitarre | guitar | гітара
die Klarinette | clarinet | кларнет
das Klavier | piano | піаніно
das Schlagzeug | drums; percussion | ударні
die Trompete | trumpet | труба
üben | to practise | практикувати
der Dokumentarfilm | documentary | документальний фільм
die Komödie | comedy | комедія
der Krimi | crime story; thriller | кримінальний роман; трилер
die Nachrichten | news | новини
die Quizsendung | quiz show | вікторина
die Seifenoper | soap opera | мильна опера
